sentence,label
Баг амжилт бүтээдэг.,OTHER OTHER HABITUAL
Ирээдүй гэрэлтэй байдаг.,OTHER OTHER HABITUAL
Нийгэм хувь хүнийг төлөвшүүлдэг.,OTHER OTHER OTHER HABITUAL
Соёл хүмүүжлийг бий болгодог.,OTHER OTHER OTHER HABITUAL
Хүмүүс хамтран ажилладаг.,OTHER OTHER HABITUAL
Боловсрол ирээдүйг тодорхойлдог.,OTHER OTHER HABITUAL
Судалгаа шинжилгээ хөгжлийг дэмждэг.,OTHER OTHER OTHER HABITUAL
Харилцаа ойлголтыг гүнзгийрүүлдэг.,OTHER OTHER HABITUAL
Цаг хугацаа бүхнийг өөрчилдөг.,OTHER OTHER OTHER HABITUAL
Амжилт зорилготой холбоотой байдаг.,OTHER OTHER OTHER HABITUAL
Багийн ажиллагаа үр дүнг нэмэгдүүлдэг.,OTHER OTHER OTHER OTHER HABITUAL
Суралцах үйл явц үргэлжилдэг.,OTHER OTHER OTHER HABITUAL
Мэдлэг үнэ цэнтэй байдаг.,OTHER OTHER OTHER HABITUAL
Туршлага амьдралыг баяжуулдаг.,OTHER OTHER HABITUAL
Хүмүүс бие биедээ тусалдаг.,OTHER OTHER OTHER HABITUAL
Нийгэм тогтвортой хөгждөг.,OTHER OTHER HABITUAL
Боловсрол чанарыг сайжруулдаг.,OTHER OTHER HABITUAL
Судалгаа бодит байдалд тулгуурладаг.,OTHER OTHER OTHER HABITUAL
Харилцаа чухал үүрэгтэй байдаг.,OTHER OTHER OTHER HABITUAL
Цаг хугацаа хязгаарлагдмал байдаг.,OTHER OTHER OTHER HABITUAL
Амжилт хөдөлмөр шаарддаг.,OTHER OTHER HABITUAL
Би өдөр бүр суралцдаг.,OTHER OTHER OTHER HABITUAL
Тэр шинэ зүйл туршдаг.,OTHER OTHER OTHER HABITUAL
Бид хамтдаа өсдөг.,OTHER OTHER HABITUAL
Тэд амжилтад хүрдэг.,OTHER OTHER HABITUAL
Би алдаанаасаа суралцдаг.,OTHER OTHER HABITUAL
Тэр туршлагаа хуваалцдаг.,OTHER OTHER HABITUAL
Бид зорилгоо тодорхойлдог.,OTHER OTHER HABITUAL
Тэд төлөвлөгөө гаргадаг.,OTHER OTHER HABITUAL
Би шинэ санаа гаргадаг.,OTHER OTHER OTHER HABITUAL
Тэр асуудал шийддэг.,OTHER OTHER HABITUAL
Бид хамтран ажилладаг.,OTHER OTHER HABITUAL
Тэд бие биедээ тусалдаг.,OTHER OTHER OTHER HABITUAL
Би урагш тэмүүлдэг.,OTHER OTHER HABITUAL
Тэр амжилт бүтээдэг.,OTHER OTHER HABITUAL
Бид ирээдүйгээ бүтээдэг.,OTHER OTHER HABITUAL
Би итгэлтэй байдаг.,OTHER OTHER HABITUAL
Тэр зоригтой байдаг.,OTHER OTHER HABITUAL
Бид хамтдаа ялдаг.,OTHER OTHER HABITUAL
Би өнгөрсөнд алдаа гаргасан.,OTHER OTHER OTHER PAST
Тэр туршлагаас суралцсан.,OTHER OTHER PAST
Бид хамтдаа даван туулсан.,OTHER OTHER OTHER PAST
Тэд шинэ боломж олсон.,OTHER OTHER OTHER PAST
Би илүү сайн болсон.,OTHER OTHER OTHER PAST
Тэр зорилгоо тодорхойлсон.,OTHER OTHER PAST
Бид төлөвлөгөө боловсруулсан.,OTHER OTHER PAST
Тэд амжилтад хүрсэн.,OTHER OTHER PAST
Би шинэ зам сонгосон.,OTHER OTHER OTHER PAST
Тэр шийдвэр гаргасан.,OTHER OTHER PAST
Бид хамтран ажилласан.,OTHER OTHER PAST
Тэд олон зүйл ойлгосон.,OTHER OTHER OTHER PAST
Би итгэл олсон.,OTHER OTHER PAST
Тэр урам зориг авсан.,OTHER OTHER OTHER PAST
Бид ирээдүйгээ бүтээсэн.,OTHER OTHER PAST
Би өөрийгөө сайжруулсан.,OTHER OTHER PAST
Тэр алдаагаа зассан.,OTHER OTHER PAST
Бид хамт ялсан.,OTHER OTHER PAST
