sentence,label
Энэ төслөөр хар нүхний бичлэгийг авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Pinecone-той нэгдэж энэ төслөөр хар нүхний бичлэгийг авах болно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Би шинэ ажилд орно,OTHER OTHER OTHER FUTURE
Тэдний гэр лүү орно,OTHER OTHER OTHER FUTURE
Би шинэ ажилд орно,OTHER OTHER OTHER FUTURE
Тэр маргааш эрт босно,OTHER OTHER OTHER FUTURE
Би маргааш эрт босно,OTHER OTHER OTHER FUTURE
Тэрээр ажилдаа орно,OTHER OTHER FUTURE
Тэр шинэ найзтай болно,OTHER OTHER OTHER FUTURE
Ажилтан ажилдаа орно,OTHER OTHER FUTURE
Шууд бусаар хамгийн тодоор буулгаж авах болно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Хүчтэй нөлөө үзүүлж байдгийг харж болно,OTHER OTHER OTHER OTHER OTHER FUTURE
Хамгийн тодоор буулгаж авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER FUTURE
Би өглөө эрт босно,OTHER OTHER OTHER FUTURE
Энэ төслөөр хар нүхний бичлэгийг авах болно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Би илүү сайн болно,OTHER OTHER OTHER FUTURE
Харилцаа чухал нөлөө үзүүлж байдгийг харж болно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Тэд шинэ найзтай болно,OTHER OTHER OTHER FUTURE
Pinecone-той нэгдэж энэ төслөөр хар нүхний бичлэгийг авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Шууд бусаар хамгийн тодоор буулгаж авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Тэдний гэр лүү орно,OTHER OTHER OTHER FUTURE
Би өглөө эрт босно,OTHER OTHER OTHER FUTURE
Би шинэ найзтай болно,OTHER OTHER OTHER FUTURE
Энэ л үеэр бид гэр лүү орно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Хамгийн тодоор буулгаж авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER FUTURE
Энэ л үеэр бид гэр лүү орно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Тэд шинэ ажилд орно,OTHER OTHER OTHER FUTURE
Тэд ажилдаа орно,OTHER OTHER FUTURE
Тэр ажилдаа орно,OTHER OTHER FUTURE
Тэр бүхнийг сайн болно,OTHER OTHER OTHER FUTURE
Шууд бусаар хамгийн тодоор буулгаж авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Хүчтэй нөлөө үзүүлж байдгийг харж болно,OTHER OTHER OTHER OTHER OTHER FUTURE
Би маргааш эрт босно,OTHER OTHER OTHER FUTURE
Шууд бусаар хамгийн тодоор буулгаж авах болно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Энэ л үеэр бид гэр лүү орно,OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Pinecone-той нэгдэж энэ төслөөр хар нүхний бичлэгийг авах тухайг тооцоолно,OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER OTHER FUTURE
Тэд ажилдаа орно,OTHER OTHER FUTURE
Би өнөөдөр эрт босно,OTHER OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Тэд хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Тэд хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Хүмүүс хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Тэд хамтдаа өснө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Хүмүүс хамтдаа өснө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Хүмүүс хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Бид хамтдаа өснө,OTHER OTHER FUTURE
Бид ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
Би ирээдүйгээ төлөвлөнө,OTHER OTHER FUTURE
